Name,alpha_code,fip,test_fraction,hosp_fraction,t0_date,R0,p1_to_p2_date,eps2,p2_to_p3_date,eps3,p3_to_p4_date,eps4,beta_1,beta_2,beta_3,beta_4,case_and_hosp_score,death_score,time
Hawaii,HI,15,0.03131697769643413,0.5,2020-03-02,2.362964357593938,2020-03-30,0.45482594252783526,2020-06-14,0.5639434186941159,2020-09-30,0.5803186457950655,0,0,0,0,3565.328794733802,51.83241823566675,2020-12-13T09:00:25Z
Idaho,ID,16,0.178283323726412,0.6917710522106951,2020-03-06,2,2020-03-26,0.6827413264206725,2020-06-15,0.5647874115843978,2020-09-25,0.7829724464891734,0,0,0,0,22270.904253742126,15.251135825888872,2020-12-13T09:07:08Z
Illinois,IL,17,0.08134864792249373,1,2020-02-26,3.7615058194643183,2020-03-28,0.26771556551265674,2020-06-19,0.36374276236229647,2020-10-02,0.7008538847635176,0,0,0,0,913606.394532762,7169.108532479984,2020-12-16T05:15:09Z
Indiana,IN,18,0.09928654534668402,1,2020-03-03,3.386890115770215,2020-04-02,0.2904788817239623,2020-06-12,0.3605886142705035,2020-10-02,0.6080304747099244,0,0,0,0,122228.3417738928,1015.0999311181846,2020-12-13T09:26:38Z
Iowa,IA,19,0.11159421348669382,0.5573715028673117,2020-03-02,3.054375173142367,2020-03-30,0.3465450184075123,2020-06-15,0.40626453536928986,2020-09-29,0.7407044343418957,0,0,0,0,118613.62733942243,421.87034700569245,2020-12-13T09:33:46Z
Kansas,KS,20,0.1132967069725569,0.6420482438303899,2020-03-04,2.8460553712754506,2020-03-28,0.392409576354939,2020-06-14,0.4100862487081908,2020-09-27,0.6248280892768645,0,0,0,0,55289.08466599789,153.53493595695872,2020-12-13T09:37:25Z
Kentucky,KY,21,0.12129332646432947,1,2020-03-01,2.835983553676312,2020-03-31,0.38302505794583186,2020-06-14,0.41023390029416645,2020-09-30,0.5892622193307868,0,0,0,0,45359.45844573056,215.73208379885867,2020-12-13T09:44:06Z
Louisiana,LA,22,0.1017226541187233,1,2020-03-04,4.5,2020-03-24,0.2423076632999052,2020-06-12,0.3120085587639241,2020-09-27,0.4943954221123834,0,0,0,0,661891.5742767156,353.8910790029296,2020-12-13T09:51:56Z
Maine,ME,23,0.25490030141731834,0.5191279817402413,2020-03-15,2.001867423650989,2020-03-18,0.3348558889675659,2020-06-15,0.2540297009980163,2020-09-28,1.9999999998101219,0,0,0,0,4893.629213299201,2.0036744633302024,2020-12-13T09:53:29Z
Maryland,MD,24,0.07837580445675724,0.6107688839858509,2020-02-27,2.990808810253766,2020-04-03,0.3508509132996699,2020-06-15,0.4148974076196793,2020-10-03,0.6516524593218217,0,0,0,0,29206.23696950818,383.744137613717,2020-12-13T10:00:10Z
Massachusetts,MA,25,0.06023275322352328,0.9996409162359482,2020-03-01,4.101180363893157,2020-03-28,0.24209615721060213,2020-06-15,0.32748753186126417,2020-10-01,0.5841995022499125,0,0,0,0,122309.53594420415,1049.137030723752,2020-12-13T10:06:46Z
Michigan,MI,26,0.0790936033206943,1,2020-03-01,4.330735621665363,2020-03-27,0.2,2020-06-14,0.28684081447536214,2020-09-30,0.47985980714905946,0,0,0,0,650809.4922539053,3200.383470448351,2020-12-13T10:13:53Z
Minnesota,MN,27,0.10660625157051576,0.5,2020-02-29,2.789479301517596,2020-04-01,0.3911856317730507,2020-06-14,0.4124669906876618,2020-10-01,0.7258153967548664,0,0,0,0,75941.43946396909,1090.1642449151923,2020-12-13T10:22:23Z
Mississippi,MS,28,0.09535605105978778,1,2020-03-03,3.089588714785876,2020-03-29,0.3852448251694299,2020-06-14,0.4333743142869381,2020-09-28,0.7448805275375594,0,0,0,0,63105.8989447021,72.25227236485499,2020-12-13T10:27:31Z
Missouri,MO,29,0.12284455383512913,1,2020-02-26,3.0316179412416866,2020-03-26,0.3282924947417748,2020-06-10,0.41346758042080267,2020-10-04,0.5861027404952753,0,0,0,0,200449.72563945994,491.2409656526472,2020-12-13T10:36:36Z
Montana,MT,30,0.15142357732241876,1,2020-03-06,2,2020-03-26,0.5527233588360294,2020-06-15,0.6326229725216765,2020-09-29,0.7581021087956995,0,0,0,0,7193.0352364512155,13.984302027863631,2020-12-13T10:45:45Z
Nebraska,NE,31,0.13734546550311932,0.6484164271500932,2020-03-03,2.964014007862925,2020-03-29,0.3424083192041323,2020-06-15,0.40750353622266755,2020-09-28,0.6163445081258655,0,0,0,0,30988.49112788147,66.82104548557393,2020-12-13T10:51:26Z
Nevada,NV,32,0.10169980503088984,1,2020-02-27,2,2020-04-03,0.6921440367360672,2020-06-15,0.585472036110748,2020-10-04,1.071142821345854,0,0,0,0,58460.142791106744,158.7299045716575,2020-12-13T10:58:42Z
New Hampshire,NH,33,0.04794330503545897,0.5000486077896863,2020-03-03,3.044868926886879,2020-03-29,0.3153316873439568,2020-06-15,0.35642421141208636,2020-09-30,0.6347516705103219,0,0,0,0,1838.6355386849293,30.754726540632966,2020-12-13T11:05:07Z
New Jersey,NJ,34,0.06066771509509407,1,2020-02-19,3.545219590203562,2020-03-28,0.26410732927404096,2020-06-14,0.42854024332933804,2020-09-28,0.7178329962512799,0,0,0,0,546055.5261746817,7233.054299549901,2020-12-13T11:12:17Z
New Mexico,NM,35,0.09335985503718969,0.6305024763764977,2020-03-03,2.9843289837633513,2020-03-29,0.3595342358455569,2020-06-14,0.37676165491065466,2020-09-28,0.6672124695219828,0,0,0,0,16139.093604265327,75.67186460961344,2020-12-13T11:20:11Z
New York,NY,36,0.05514392703428822,1,2020-02-15,4.205685143739512,2020-03-19,0.23771886125258598,2020-06-15,0.37219574496178376,2020-09-28,0.6206394579836487,0,0,0,0,1011924.7341505276,37988.01410014306,2020-12-16T05:30:32Z
North Carolina,NC,37,0.17952805384435636,1,2020-03-03,2.9415995908212773,2020-03-29,0.40285383213286124,2020-06-15,0.3705783874771211,2020-09-28,0.4666363126588626,0,0,0,0,147137.05475254278,105.10988153452328,2020-12-13T11:36:23Z
North Dakota,ND,38,0.031105344180410974,0.5004572346602133,2020-03-08,2.0066840703714277,2020-03-24,0.21522158411331826,2020-06-15,0.10746233020934623,2020-09-30,2,0,0,0,0,269156.26415814523,45.667292348981206,2020-12-13T11:37:57Z
Ohio,OH,39,0.12859216654637845,0.6854182867313631,2020-03-03,2.992782583053658,2020-03-29,0.3670244477659248,2020-06-15,0.3643603829619533,2020-09-29,0.5391362184824078,0,0,0,0,268044.45954324724,1119.329343939655,2020-12-13T11:50:47Z
Oklahoma,OK,40,0.1955669832644456,0.8310293409816966,2020-03-09,2,2020-03-23,0.732820575047451,2020-06-19,0.5558983168285513,2020-10-01,0.7402227921167782,0,0,0,0,75328.15586228526,60.196718256711954,2020-12-13T11:58:55Z
Oregon,OR,41,0.11942264952369568,0.8888235206882305,2020-03-02,2.7625202255980623,2020-03-29,0.3885316409004664,2020-06-14,0.3911507305131147,2020-09-28,0.5378792643908973,0,0,0,0,34218.52531696045,25.79279804112646,2020-12-13T12:06:03Z
Pennsylvania,PA,42,0.07800150791615137,1,2020-02-27,3.63317036391255,2020-03-29,0.24273939385901636,2020-06-12,0.3269982247757392,2020-10-03,0.5055988271495201,0,0,0,0,159930.9045308204,1659.9865123271175,2020-12-13T12:15:46Z
Puerto Rico,PR,72,0.1,0.7,2020-03-01,3.4,2020-04-01,0.3,2020-06-15,0.3,2020-10-01,0.5,0,0,0,0,10000000000,10000000000,2020-12-12T22:22:53Z
Rhode Island,RI,44,0.2077412547250454,1,2020-03-03,3.0166883128938844,2020-03-29,0.30489134704301596,2020-06-15,0.4078983151358903,2020-09-30,0.5896360809679588,0,0,0,0,38653.860764771525,44.82758318570127,2020-12-13T12:19:23Z
South Carolina,SC,45,0.193342526136797,0.9678674174220268,2020-03-03,2,2020-03-30,0.7428435985267943,2020-06-17,0.5304829847402952,2020-09-30,0.7062862388360994,0,0,0,0,55472.51644642283,97.7777821100666,2020-12-13T12:26:12Z
South Dakota,SD,46,0.020000173297668778,0.50000010027455,2020-03-14,2,2020-03-18,0.20000005914447228,2020-06-15,0.1,2020-09-29,2,0,0,0,0,270060.7840263762,63.04926991006962,2020-12-13T12:26:49Z
Tennessee,TN,47,0.236601262130851,0.5668340250752159,2020-03-07,2.3987118345718788,2020-03-25,0.598362206857248,2020-06-18,0.4525753915768267,2020-10-01,0.599496671701658,0,0,0,0,169722.80906419927,60.968349358305765,2020-12-13T12:36:41Z
Texas,TX,48,0.08573708857739874,0.7485803442307648,2020-03-04,2.0925837983973663,2020-03-28,0.8367903648556838,2020-06-15,0.5484619506379065,2020-09-27,0.9300149872053289,0,0,0,0,3893471.237126214,9141.905008537928,2020-12-13T12:44:09Z
Utah,UT,49,0.16938608018616522,0.6554136369347403,2020-03-03,2.5339944786618713,2020-03-29,0.45404091372341826,2020-06-14,0.45616757900265315,2020-09-28,0.6314142062473768,0,0,0,0,59028.641893850814,166.38105374270782,2020-12-13T12:48:58Z
Vermont,VT,50,0.05650533538629099,0.8306452519238866,2020-03-08,3.8860671012449797,2020-03-21,0.22019162392175545,2020-06-14,0.28466547246276497,2020-09-30,0.39000335786000306,0,0,0,0,174.27170278923512,0.7969000885272066,2020-12-13T12:56:56Z
Virginia,VA,51,0.13817681652248776,1,2020-03-02,3.1475720667036775,2020-03-31,0.33864001779298086,2020-06-15,0.3515800615713478,2020-09-30,0.4462361358678829,0,0,0,0,47827.693910519345,137.8661917958922,2020-12-13T13:05:01Z
Washington,WA,53,0.09184979599962681,0.5914808677098292,2020-03-02,3.1199883375899584,2020-03-30,0.33728266122511985,2020-06-14,0.3534212565792757,2020-09-29,0.49609961095813204,0,0,0,0,86758.15639346748,286.63621751347114,2020-12-13T13:08:34Z
West Virginia,WV,54,0.09958452435110009,0.9979205196318108,2020-03-11,3.724140593180669,2020-03-24,0.27230742870485486,2020-06-10,0.31769615721592553,2020-10-09,0.42162062979679155,0,0,0,0,2405.0407108818645,16.61765594643749,2020-12-13T13:18:14Z
Wisconsin,WI,55,0.12979399997514535,0.668653730751969,2020-03-02,2.963253092078867,2020-03-30,0.34092065810040356,2020-06-14,0.42707502304003536,2020-09-29,0.5854025218461795,0,0,0,0,227908.6303874263,961.8381074448054,2020-12-13T13:24:52Z
Wyoming,WY,56,0.11801168872466099,0.5,2020-03-06,2.3695174434867297,2020-03-26,0.4092262233701303,2020-06-15,0.5199737685306633,2020-09-30,0.7579678788686065,0,0,0,0,5149.310188031972,24.48602902106557,2020-12-13T13:33:34Z
