Date,State,S,E,A,I1,R,D,I2,I3,I1_increase
2020-11-15,Florida,7818678.408849629,6623.353262489281,0,18976.637054930492,13559597.647271572,72491.1172916817,535.3425522697266,834.4937173999886,588.9240380870148
2020-11-16,Florida,7816459.104154331,6224.3544239332505,0,17836.271061016127,13563393.256739585,72531.80333046992,503.6280112278605,788.5822794088409,553.2432209536275
2020-11-17,Florida,7814372.178672007,5849.025579785826,0,16763.349024698673,13566963.347902674,72570.20782544898,473.7396427343015,745.1513526216062,520.2702806493461
2020-11-18,Florida,7812414.276026514,5496.7789986186945,0,15756.16842396165,13570313.61279267,72606.38397367872,445.63346456823297,704.1463199585811,488.13072377426846
2020-11-19,Florida,7810576.0069887135,5166.002038907423,0,14809.984007486786,13573459.92632888,72640.48235739398,419.18850353042524,665.4097750581703,458.3158440356824
2020-11-20,Florida,7808848.323631322,4855.146881166094,0,13920.226448823318,13576417.57689148,72672.64843308162,394.2885902647481,628.7891238342255,430.7398281247339
2020-11-21,Florida,7807222.60373362,4562.734821415049,0,13082.539624245606,13579201.139412826,72703.02101824619,370.82268910728806,594.1387005108437,405.2981209528594
2020-11-22,Florida,7805694.804074409,4288.030578246162,0,12294.860668469559,13581817.514813472,72731.66751994404,348.7349835898779,561.3873618396682,380.8661035055899
2020-11-23,Florida,7804259.502114147,4030.074931290954,0,11554.435924821519,13584275.915633619,72758.67685598748,327.9530237309754,530.4415163739948,357.7825414086237
2020-11-24,Florida,7802910.411816299,3787.76846729637,0,10858.079279330583,13586587.001560615,72784.15141060365,308.3939464426408,501.1935193836943,336.25951267794727
2020-11-25,Florida,7801641.7278857585,3559.816559793074,0,10203.12725907321,13588760.622632187,72808.18799701167,289.977238998347,473.5404271491014,316.23668567362233
2020-11-26,Florida,7800450.179926916,3344.2954622028064,0,9589.262147495308,13590802.363728413,72830.85192612102,272.63944594370435,447.4073628787714,297.31137235230256
2020-11-27,Florida,7799330.515820094,3141.950201535631,0,9012.10262120722,13592721.165310442,72852.22155390575,256.32912527031937,422.7153675142402,279.33840028224256
2020-11-28,Florida,7798278.27429132,2952.2732968348373,0,8469.08329406387,13594524.623951968,72872.37062681792,240.98832918477402,399.3862097829,262.4153179389819
2020-11-29,Florida,7797289.331368259,2773.998096808573,0,7958.6355187408835,13596219.76764177,72891.37163257755,226.55489415453388,377.3408476609282,246.63126548279016
2020-11-30,Florida,7796360.041649652,2606.503814899385,0,7478.865379807207,13597812.811332047,72909.2866136148,212.9786832103045,356.5125267419068,231.74865147994961
2020-12-01,Florida,7795486.751223901,2449.1540163036384,0,7027.88630029803,13599309.987480324,72926.178098836,200.20910199653986,336.83377831313675,217.7725805998227
2020-12-02,Florida,7794665.704978415,2301.2446891148034,0,6603.807429059399,13600717.704238405,72942.11093188808,188.19341571590695,318.2343173748067,204.7387153769501
2020-12-03,Florida,7793894.395401643,2162.3127648268837,0,6205.357249943171,13602040.242718883,72957.12857589699,176.8963562433393,300.66693253607735,192.33252882278146
2020-12-04,Florida,7793170.278974631,2031.8893748447979,0,5831.244573193085,13603281.946117409,72971.27515674969,166.28213344338366,284.08366970147904,180.56285479289835
2020-12-05,Florida,7792488.582665175,1909.1094723306085,0,5479.027339306413,13604450.969526485,72984.63400652075,156.28335306631695,268.3936370879172,169.9844975712628
2020-12-06,Florida,7791849.635604221,1794.032856427875,0,5148.8717850016,13605546.752958488,72997.19965071256,146.90450713884724,253.60263798073586,159.32396006194483
2020-12-07,Florida,7791250.169407421,1686.0675804335376,0,4839.101426773905,13606574.885219146,73009.02967252207,138.09914989692987,239.6475437787164,149.47910414230466
2020-12-08,Florida,7790687.153072475,1584.6645619788392,0,4548.16330225555,13607540.547288673,73020.17725255647,129.82433473515576,226.47018729681608,140.39071421087846
2020-12-09,Florida,7790157.556869661,1489.2749484849653,0,4274.505111258995,13608448.91796099,73030.69554782125,122.03713380663547,214.01242794747827,132.05847282201896
2020-12-10,Florida,7789658.885715495,1399.4453438038904,0,4016.848196390505,13609304.264220774,73040.62864094369,114.70202746669517,202.22585509884425,124.34924031861715
2020-12-11,Florida,7789190.418549129,1315.0390880833825,0,3774.821881040494,13610107.827556357,73049.99050463685,107.80807740592378,191.09434332080104,116.82124278595423
2020-12-12,Florida,7788750.320913456,1235.720734263264,0,3547.485629800919,13610862.748291094,73058.81400892949,101.32891779659506,180.58150463297483,109.75174242630283
2020-12-13,Florida,7788336.628455017,1161.1316434202213,0,3333.8324236735816,13611572.388279302,73067.13422853933,95.23638293212228,170.64858708853075,103.17308652888752
2020-12-14,Florida,7787947.4309884515,1090.9396851660795,0,3132.8662204097527,13612240.016802773,73074.98530167538,89.50315850280558,161.25784299356317,97.06822825277126
2020-12-15,Florida,7787581.667756725,1025.2141852117861,0,2943.7773353004436,13612867.45158872,73082.38670575451,84.11519040160681,152.38723785972272,91.17285778120011
2020-12-16,Florida,7787238.054110216,963.5832104776829,0,2766.0422875452105,13613456.895463215,73089.36237178184,79.05278519219974,144.00977154391904,85.6275205036124
2020-12-17,Florida,7786915.00892294,905.5465486529572,0,2599.0604094432947,13614011.058491865,73095.94159634266,74.29150967519736,136.0925210543976,80.52196657802611
2020-12-18,Florida,7786611.741078437,850.973617893804,0,2442.4109170115503,13614531.296438891,73102.13891916713,69.81988833656737,128.61914023603205,75.61116598403
2020-12-19,Florida,7786326.485455959,799.6798306118841,0,2295.046494912065,13615020.634395747,73107.98616828809,65.61354378938327,121.55411066760009,71.11233554793017
2020-12-20,Florida,7786058.427180563,751.4829267366171,0,2156.581379212456,13615480.469530266,73113.4985888472,61.660243815109226,114.8801505333343,66.82419809617828
2020-12-21,Florida,7785806.5344248535,706.1858045395103,0,2026.4930414767773,13615912.570975428,73118.69534665428,57.94481995863664,108.57558706161099,62.79573134324052
